GeoName,Region,GeoScale,OceanSect_ID,OceanSector,Year, Employment , GrossReceipts 
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2005, 423 ," 41,593,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2006, 442 ," 46,280,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2007, 409 ," 32,066,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2008, 387 ," 27,753,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2009, 360 ," 25,310,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2010, 335 ," 25,845,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2011, 310 ," 23,932,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2012, 307 ," 23,829,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2013, 265 ," 18,541,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2014, 568 ," 34,115,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2005," 4,741 "," 179,675,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2006," 4,581 "," 193,793,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2007," 4,637 "," 195,260,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2008," 4,377 "," 181,729,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2009," 4,490 "," 174,709,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2010," 5,098 "," 232,343,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2011," 5,050 "," 233,679,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2012," 4,734 "," 216,790,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2013," 4,389 "," 221,860,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2014," 2,703 "," 116,322,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2005, 772 ," 46,444,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2006, 761 ," 47,205,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2007, 822 ," 52,022,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2008, 927 ," 70,424,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2009, 853 ," 37,259,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2010, 893 ," 38,228,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2011, 904 ," 39,047,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2012, 860 ," 37,134,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2013, 850 ," 45,773,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2014, 237 ," 22,940,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2005, 76 ," 8,382,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2006, 106 ," 9,121,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2007, 114 ," 8,090,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2008, 103 ," 9,488,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2009, 95 ," 5,058,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2010, 109 ," 6,844,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2011, 136 ," 6,746,000 "
