Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
Abraham Lincoln Birthplace NHP,252495,14763.1,245,7004.7,11226.5,19905.8,0.058468881
Acadia NP,3303394,274208.8,4195,111087.1,188275.1,332786.3,0.083008203
Adams NHP,199300,11652.8,171,6534.1,10281.9,16519.6,0.05846864
African Burial Ground NM,46526,2720.4,34,1603.2,2487.3,3764.5,0.058470533
Agate Fossil Beds NM,15555,1140.4,17,354.9,638,1199.3,0.073314047
Alibates Flint Quarries NM,8152,476.6,8,189.9,331.4,596.5,0.058464181
Allegheny Portage Railroad NHS,189370,11072.2,184,5476.3,8602.7,15044.8,0.058468606
Amistad NRA,1164530,50617.7,710,15544.9,28081.3,51077.6,0.043466205
Andersonville NHS,134216,7847.4,133,3016.4,5135.5,9622.3,0.058468439
Andrew Johnson NHS,45937,2685.8,45,1202.5,2006.6,3502.1,0.058467031
Aniakchak NM&PRES,83,79.1,0,31.4,74.3,111.1,0.953012048
Antietam NB,351911,22660.8,305,12039,19161.8,30595.2,0.064393554
Apostle Islands NL,183797,29270.1,456,11158.7,19554.8,35699.8,0.159252327
Appomattox Court House NHP,303139,17724.1,290,7654.8,12805.9,22758.6,0.058468557
Arches NP,1585719,188802.5,3120,78699.1,142124.6,251620.4,0.119064286
Arkansas Post NMEM,34405,2011.6,29,882.3,1386.8,2428.5,0.058468246
"Arlington House The Robert E. Lee, Memorial NMEM,",1057500,61830.5,869,33737.8,52945.9,84399.1,0.058468558
Assateague Island NS,2267822,98272.4,1332,38848.1,68307.9,112223.3,0.043333383
Aztec Ruins NM,57693,3373.2,52,1249,2169.2,3880.2,0.058468098
Badlands NP,996263,63746.6,1031,24935.9,41060.9,79640.5,0.063985715
Bandelier NM,198478,12469.9,194,5397.1,8720.1,15769.4,0.062827618
Belmont Paul Women's Equality NM,2703,51.3,0,28.9,45.7,72.8,0.018978912
Bent's Old Fort NHS,31948,1868,29,739.1,1318.2,2302.4,0.058470014
Bering Land Bridge NPRES,2642,4166.7,54,1975,3626,5937,1.577100681
Big Bend NP,388290,34197.4,510,11549,20972.4,37888.7,0.088071802
Big Cypress NPRES,1102147,88049.8,1255,48767.7,77452.1,126017.4,0.079889343
Big Hole NB,41795,2728.7,40,1002.2,1523.7,2884.3,0.065287714
