Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,25,16,92,56,572,4197,7435,9782,5544,804,105,18
2015,59,149,215,212,1410,3277,6297,5526,2868,502,105,57
2014,40,8,13,156,727,1970,6546,7487,5335,1350,158,75
2013,16,3,24,148,763,2283,6457,7214,4266,372,54,23
2012,2,7,14,109,854,1286,6320,10009,6538,1588,176,32
2011,0,4,7,203,672,2384,5454,5045,4312,1032,49,46
2010,74,205,404,182,774,2581,7118,7983,3971,1354,9,4
2009,25,15,15,170,542,1876,8505,9802,4787,609,524,102
2008,34,16,7,170,525,2096,5296,6800,3287,399,60,35
2007,27,15,35,173,629,2246,5737,6867,3336,433,36,0
2006,6,13,75,0,552,1865,6040,6403,3539,650,24,0
2005,7,31,104,229,605,2091,5626,6291,3347,326,15,14
2004,0,0,137,130,752,1764,5620,5856,2158,458,34,3
2003,34,22,47,130,871,2076,5531,8076,3515,398,12,12
2002,0,0,0,90,582,1822,5752,7615,4416,383,17,14
2001,66,45,129,302,838,2054,7737,9916,6287,311,26,28
2000,12,4,121,260,869,2260,7911,8907,4453,757,97,53
1999,6,9,116,220,1083,1650,5211,8149,4126,907,9,2
1998,1,14,167,271,955,3541,9725,11758,5772,483,30,36
1997,1,8,6,21,862,992,6632,12605,5578,411,67,20
1996,0,13,75,51,533,2490,8510,11436,4458,343,0,1
1995,10,15,28,219,4945,5851,16423,19006,6401,12854,140,92
1994,10,11,43,77,891,1544,6795,5957,3359,549,69,18
1993,10,11,27,66,391,1798,5769,8130,4395,692,69,20
1992,36,54,167,45,395,1121,6444,7855,3539,573,9,57
1991,1,22,38,38,353,843,6292,9478,4569,985,153,24
1990,2228,453,984,8855,28860,82245,109877,113839,77909,24392,6011,791
1989,979,1101,1513,7409,30227,61554,113194,97554,47510,21624,6544,2224
1988,2768,2850,3039,9816,23537,67705,175386,177543,85850,44324,9475,3674
1987,3318,5142,4502,7069,36515,80953,153521,215580,92353,39321,8893,4439
1986,1056,2680,3748,8202,27351,89773,154966,231076,100952,51834,8918,2500
1985,1152,2036,2999,10425,32578,99272,169961,165990,107136,33420,2664,1601
1984,682,1824,2116,12576,25020,103246,163777,188895,94295,39305,4853,1247
1983,993,2239,3052,10259,61635,140211,178240,200363,157061,76786,26031,1171
1982,2621,2387,3859,5499,40040,134199,181110,205764,177929,78880,20746,3982
1981,3475,3055,4324,10187,109009,113937,126616,194579,148314,73162,36249,6119
1980,3775,3374,1410,7345,63492,94174,147702,192227,144281,94776,37888,5635
1979,2556,4350,5465,21066,58174,96038,131505,174385,120066,79082,43492,6818
