Year,Month,Average,Max,Min
1996,1,23.48387097,41,9
1996,2,29.86206897,57,11
1996,3,34.03225806,85,10
1996,4,51.03333333,119,23
1996,5,65.16129032,116,23
1996,6,32.36666667,62,15
1996,7,91.22580645,180,19
1996,8,90.03225806,185,27
1996,9,48.96666667,107,15
1996,10,29.74193548,72,16
1996,11,24.4,126,6
1996,12,22.77419355,31,14
1997,1,25.61290323,59,9
1997,2,30,109,11
1997,3,30.80645161,40,21
1997,4,35.5,46,19
1997,5,44.67741935,107,23
1997,6,33.36666667,76,17
1997,7,41.06451613,96,18
1997,8,45.22580645,97,17
1997,9,22.4,62,6
1997,10,15.25806452,34,4
1997,11,22.7,34,7
1997,12,23.58064516,35,11
1998,1,22.77419355,31,14
1998,2,23.57142857,37,12
1998,3,26.09677419,35,14
1998,4,35.26666667,54,26
1998,5,32.19354839,51,17
1998,6,25.22222222,55,16
1998,7,21.83870968,54,10
1998,8,23.67741935,47,14
1998,9,26.03333333,37,17
1998,10,20.64516129,43,9
1998,11,20.63333333,32,6
1998,12,23.77419355,34,3
1999,1,20.87096774,37,6
1999,2,29.37037037,36,0
1999,3,30,39,10
1999,4,35.46666667,52,29
1999,5,33.06451613,41,15
1999,6,22.76666667,41,15
1999,7,20.64516129,43,12
1999,8,20.64516129,40,10
1999,9,28.7,52,17
1999,10,26.83333333,69,3
1999,11,25.26666667,71,9
1999,12,22.90322581,62,4
2000,1,28.64516129,68,7
2000,2,29.24137931,96,11
2000,3,31.12903226,58,19
2000,4,34.34482759,64,20
2000,5,32.29032258,42,20
2000,6,27.23333333,47,16
2000,7,20.96774194,50,14
2000,8,19.19354839,34,14
2000,9,23.16666667,48,14
2000,10,25.12903226,59,10
2000,11,32.86666667,78,6
2000,12,36.57142857,62,7
2001,1,25.77419355,62,1
2001,2,30.48148148,83,16
2001,3,32.25806452,40,19
2001,4,36.3,52,23
2001,5,32.58064516,47,6
2001,6,28.26666667,35,23
2001,7,22.58064516,30,15
2001,8,20.03225806,40,13
2001,9,21.44827586,36,10
2001,10,25.06451613,34,9
2001,11,20.26666667,29,9
2001,12,22.83870968,36,1
2002,1,25.09677419,36,11
2002,2,26.78571429,38,18
2002,3,23.38709677,37,3
2002,4,24.63333333,32,14
2002,5,20.58064516,29,12
2002,6,17.13333333,38,7
2002,7,14.41935484,28,6
2002,8,13.96774194,24,6
2002,9,13.1,23,6
2002,10,48.16129032,83,22
2002,11,65.1,102,43
2002,12,55.12903226,84,27
2003,1,57.38709677,80,34
2003,2,53.89285714,79,29
2003,3,38.90322581,71,17
2003,4,35.86666667,54,20
2003,5,35.32258065,46,30
2003,6,30.9,44,18
2003,7,23.74193548,39,15
2003,8,26.90322581,53,13
2003,9,23.8,49,12
2003,10,29.29032258,51,10
2003,11,43.93333333,76,19
2003,12,49.03225806,71,24
2004,1,49.51612903,76,13
2004,2,44.17241379,68,25
2004,3,33.61290323,62,13
2004,4,29.86666667,46,13
2004,5,27.80645161,48,12
2004,6,29.8,47,19
2004,7,25.35483871,45,17
2004,8,22.22580645,39,14
2004,9,30.86666667,61,18
2004,10,35.93548387,64,23
2004,11,50.26666667,73,30
2004,12,45.74193548,61,24
2005,1,47.87096774,77,12
2005,2,53.78571429,111,11
2005,3,37.77419355,60,15
2005,4,24.23333333,35,14
2005,5,32.87096774,74,16
2005,6,17.06666667,25,11
2005,7,27.77419355,49,14
2005,8,29.29032258,50,16
2005,9,27.9,35,21
2005,10,42.03225806,58,26
2005,11,47.63333333,69,24
2005,12,64.12903226,94,33
2006,1,52.38709677,82,12
2006,2,51.17857143,83,17
2006,3,52.16129032,72,29
2006,4,37,66,16
2006,5,30.35483871,45,14
2006,6,35.33333333,55,22
2006,7,27.16129032,43,18
2006,8,30.12903226,49,19
2006,9,30.96666667,52,23
2006,10,45.38709677,65,32
2006,11,52.7,81,33
2006,12,70.46666667,116,35
2007,1,32.19354839,98,4
2007,2,59,105,37
2007,3,47.61290323,74,36
2007,4,42.9,60,34
2007,5,41.48387097,51,27
2007,6,24.23333333,41,12
2007,7,24.12903226,46,18
2007,8,26.29032258,41,16
2007,9,34,54,23
2007,10,39.09677419,62,23
2007,11,54.03571429,76,35
2007,12,47.38709677,81,35
2008,1,50.4516129,80,25
2008,2,43.86206897,61,34
2008,3,41.93548387,52,24
2008,4,43.66666667,61,20
2008,5,38.5483871,46,23
2008,6,31.96666667,41,24
2008,7,32.22580645,54,21
2008,8,35.5483871,97,18
2008,9,36.53333333,47,23
2008,10,45.06451613,74,26
2008,11,46.9,73,31
2008,12,54.06451613,84,31
2009,1,50.77419355,87,27
2009,2,51.60714286,67,35
2009,3,42.80645161,53,37
2009,4,43.9,71,36
2009,5,37.93548387,51,20
2009,6,33.1,67,22
2009,7,28.4516129,57,13
2009,8,31.87096774,56,21
2009,9,32.36666667,48,24
2009,10,33.67741935,52,23
2009,11,42.4137931,54,28
2009,12,43.25806452,61,28
2010,1,39.58064516,46,26
2010,2,40.60714286,56,28
2010,3,41.03225806,49,34
2010,4,38.86666667,45,14
2010,5,36.32258065,44,30
2010,6,29.33333333,39,22
2010,7,31.51612903,45,21
2010,8,32.51612903,54,20
2010,9,30.5,67,19
2010,10,36.41935484,57,31
2010,11,36.76666667,55,26
2010,12,36.5483871,58,21
2011,1,40.41935484,57,28
2011,2,40.57142857,51,28
2011,3,43.12903226,61,28
2011,4,39.4,47,10
2011,5,40.32258065,51,17
2011,6,30.73333333,40,23
2011,7,23.03225806,35,14
2011,8,28.16129032,44,17
2011,9,39,64,29
2011,10,38.70967742,56,28
2011,11,47.53333333,76,34
2011,12,52.03225806,70,19
2012,1,46.4516129,63,33
2012,2,45.65517241,72,34
2012,3,37.22580645,48,18
2012,4,39.8,47,23
2012,5,37.51612903,74,14
2012,6,30.36666667,44,19
2012,7,26.12903226,55,16
2012,8,29.67741935,48,17
2012,9,27.13333333,54,13
2012,10,41.32258065,81,20
2012,11,50.7,79,35
2012,12,48.93548387,71,28
2013,1,54.16129032,83,37
2013,2,40.21428571,57,26
2013,3,39.96774194,45,33
2013,4,40.7,48,33
2013,5,36.38709677,50,15
2013,6,25.93333333,33,20
2013,7,22.41935484,42,15
2013,8,24.77419355,40,18
2013,9,19.2,35,11
2013,10,32.19354839,74,14
2013,11,45.63333333,77,30
2013,12,45.93548387,60,34
2014,1,41,56,19
2014,2,38.28571429,53,25
2014,3,39.67741935,44,19
2014,4,42.8,51,22
2014,5,38.38709677,84,24
2014,6,21.86666667,52,9
2014,7,19.22580645,31,10
2014,8,31.16129032,54,19
2014,9,32.9,54,24
2014,10,38.58064516,58,21
2014,11,52.23333333,85,24
2014,12,51.70967742,101,30
2015,1,48.5483871,71,30
2015,2,44.78571429,65,31
2015,3,44.29032258,71,8
2015,4,42.32142857,58,34
2015,5,36.06451613,47,23
2015,6,32.13333333,44,24
2015,7,34,77,19
2015,8,29.35483871,48,19
2015,9,29.1,40,13
2015,10,42.70967742,62,29
2015,11,37.5,56,15
2015,12,38.19354839,56,15
2016,1,49.74193548,69,36
2016,2,44.17241379,64,31
2016,3,40.5483871,48,27
2016,4,42.13333333,58,34
2016,5,36.35483871,47,22
2016,6,29.13333333,40,19
2016,7,20.22580645,26,12
2016,8,25.16129032,38,13
2016,9,28.16666667,41,19
