"Year","Epoch","Season","Scenario","Value"
1950,"Historical","Annual","RCP2.6",-0.074
1950,"Historical","Annual","RCP4.5",-0.074
1950,"Historical","Annual","RCP6",-0.074
1950,"Historical","Annual","RCP8.5",-0.074
1950,"Historical","Autumn","RCP2.6",-0.122
1950,"Historical","Autumn","RCP4.5",-0.122
1950,"Historical","Autumn","RCP6",-0.122
1950,"Historical","Autumn","RCP8.5",-0.122
1950,"Historical","Spring","RCP2.6",-0.588
1950,"Historical","Spring","RCP4.5",-0.588
1950,"Historical","Spring","RCP6",-0.588
1950,"Historical","Spring","RCP8.5",-0.588
1950,"Historical","Summer","RCP2.6",0.728
1950,"Historical","Summer","RCP4.5",0.728
1950,"Historical","Summer","RCP6",0.728
1950,"Historical","Summer","RCP8.5",0.728
1950,"Historical","Winter","RCP2.6",-0.42
1950,"Historical","Winter","RCP4.5",-0.42
1950,"Historical","Winter","RCP6",-0.42
1950,"Historical","Winter","RCP8.5",-0.42
1955,"Historical","Annual","RCP2.6",0.282
1955,"Historical","Annual","RCP4.5",0.282
1955,"Historical","Annual","RCP6",0.282
1955,"Historical","Annual","RCP8.5",0.282
1955,"Historical","Autumn","RCP2.6",0.564
1955,"Historical","Autumn","RCP4.5",0.564
1955,"Historical","Autumn","RCP6",0.564
1955,"Historical","Autumn","RCP8.5",0.564
1955,"Historical","Spring","RCP2.6",-0.012
1955,"Historical","Spring","RCP4.5",-0.012
1955,"Historical","Spring","RCP6",-0.012
1955,"Historical","Spring","RCP8.5",-0.012
1955,"Historical","Summer","RCP2.6",-0.138
1955,"Historical","Summer","RCP4.5",-0.138
1955,"Historical","Summer","RCP6",-0.138
1955,"Historical","Summer","RCP8.5",-0.138
1955,"Historical","Winter","RCP2.6",0.704
1955,"Historical","Winter","RCP4.5",0.704
1955,"Historical","Winter","RCP6",0.704
1955,"Historical","Winter","RCP8.5",0.704
1960,"Historical","Annual","RCP2.6",0.29
1960,"Historical","Annual","RCP4.5",0.29
1960,"Historical","Annual","RCP6",0.29
1960,"Historical","Annual","RCP8.5",0.29
1960,"Historical","Autumn","RCP2.6",0.402
1960,"Historical","Autumn","RCP4.5",0.402
1960,"Historical","Autumn","RCP6",0.402
1960,"Historical","Autumn","RCP8.5",0.402
1960,"Historical","Spring","RCP2.6",0.844
1960,"Historical","Spring","RCP4.5",0.844
1960,"Historical","Spring","RCP6",0.844
1960,"Historical","Spring","RCP8.5",0.844
1960,"Historical","Summer","RCP2.6",-0.87
1960,"Historical","Summer","RCP4.5",-0.87
1960,"Historical","Summer","RCP6",-0.87
1960,"Historical","Summer","RCP8.5",-0.87
1960,"Historical","Winter","RCP2.6",0.702
1960,"Historical","Winter","RCP4.5",0.702
1960,"Historical","Winter","RCP6",0.702
1960,"Historical","Winter","RCP8.5",0.702
1965,"Historical","Annual","RCP2.6",-0.7
1965,"Historical","Annual","RCP4.5",-0.7
1965,"Historical","Annual","RCP6",-0.7
1965,"Historical","Annual","RCP8.5",-0.7
