CMIP5 projected changes in Temperature (degF) and Precipitation (percent), ,,,,
"	for 3 future time periods (relative to average for 1970-1999).",,,,,
Variable,Season,Scenario,Time Period,Model Name,Projected Change
tas,ANN,rcp26,2040,ACCESS1-0,NaN
tas,ANN,rcp26,2040,ACCESS1-3,NaN
tas,ANN,rcp26,2040,BNU-ESM,3.92
tas,ANN,rcp26,2040,CCSM4,2.94
tas,ANN,rcp26,2040,CESM1-BGC,NaN
tas,ANN,rcp26,2040,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp26,2040,CESM1-CAM5,2.9
tas,ANN,rcp26,2040,CESM1-FASTCHEM,NaN
tas,ANN,rcp26,2040,CESM1-WACCM,NaN
tas,ANN,rcp26,2040,CMCC-CESM,NaN
tas,ANN,rcp26,2040,CMCC-CM,NaN
tas,ANN,rcp26,2040,CMCC-CMS,NaN
tas,ANN,rcp26,2040,CNRM-CM5-2,NaN
tas,ANN,rcp26,2040,CNRM-CM5,3.2
tas,ANN,rcp26,2040,CSIRO-Mk3-6-0,3.77
tas,ANN,rcp26,2040,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp26,2040,CanCM4,NaN
tas,ANN,rcp26,2040,CanESM2,4.65
tas,ANN,rcp26,2040,FGOALS-g2,2.66
tas,ANN,rcp26,2040,FGOALS-s2,NaN
tas,ANN,rcp26,2040,FIO-ESM,1.4
tas,ANN,rcp26,2040,GFDL-CM2p1,NaN
tas,ANN,rcp26,2040,GFDL-CM3,3.69
tas,ANN,rcp26,2040,GFDL-ESM2G,3.11
tas,ANN,rcp26,2040,GFDL-ESM2M,1.53
tas,ANN,rcp26,2040,GISS-E2-H-CC,NaN
tas,ANN,rcp26,2040,GISS-E2-H,1.97
tas,ANN,rcp26,2040,GISS-E2-R-CC,NaN
tas,ANN,rcp26,2040,GISS-E2-R,1.53
tas,ANN,rcp26,2040,HadCM3,NaN
tas,ANN,rcp26,2040,HadGEM2-AO,4.1
tas,ANN,rcp26,2040,HadGEM2-CC,NaN
tas,ANN,rcp26,2040,HadGEM2-ES,3.64
tas,ANN,rcp26,2040,IPSL-CM5A-LR,2.88
tas,ANN,rcp26,2040,IPSL-CM5A-MR,3.19
tas,ANN,rcp26,2040,IPSL-CM5B-LR,NaN
tas,ANN,rcp26,2040,MIROC-ESM-CHEM,5.76
tas,ANN,rcp26,2040,MIROC-ESM,5.1
tas,ANN,rcp26,2040,MIROC4h,NaN
tas,ANN,rcp26,2040,MIROC5,3.83
tas,ANN,rcp26,2040,MPI-ESM-LR,2.27
tas,ANN,rcp26,2040,MPI-ESM-MR,2.46
tas,ANN,rcp26,2040,MPI-ESM-P,NaN
tas,ANN,rcp26,2040,MRI-CGCM3,1.81
tas,ANN,rcp26,2040,MRI-ESM1,NaN
tas,ANN,rcp26,2040,NorESM1-M,3.33
tas,ANN,rcp26,2040,NorESM1-ME,3.05
tas,ANN,rcp26,2040,bcc-csm1-1-m,2.31
tas,ANN,rcp26,2040,bcc-csm1-1,3.44
tas,ANN,rcp26,2040,inmcm4,NaN
tas,ANN,rcp26,2050,ACCESS1-0,NaN
tas,ANN,rcp26,2050,ACCESS1-3,NaN
tas,ANN,rcp26,2050,BNU-ESM,3.87
tas,ANN,rcp26,2050,CCSM4,2.73
tas,ANN,rcp26,2050,CESM1-BGC,NaN
tas,ANN,rcp26,2050,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp26,2050,CESM1-CAM5,3.22
tas,ANN,rcp26,2050,CESM1-FASTCHEM,NaN
tas,ANN,rcp26,2050,CESM1-WACCM,NaN
tas,ANN,rcp26,2050,CMCC-CESM,NaN
tas,ANN,rcp26,2050,CMCC-CM,NaN
tas,ANN,rcp26,2050,CMCC-CMS,NaN
tas,ANN,rcp26,2050,CNRM-CM5-2,NaN
tas,ANN,rcp26,2050,CNRM-CM5,3.37
tas,ANN,rcp26,2050,CSIRO-Mk3-6-0,3.85
tas,ANN,rcp26,2050,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp26,2050,CanCM4,NaN
tas,ANN,rcp26,2050,CanESM2,4.89
tas,ANN,rcp26,2050,FGOALS-g2,3.01
tas,ANN,rcp26,2050,FGOALS-s2,NaN
tas,ANN,rcp26,2050,FIO-ESM,1.24
tas,ANN,rcp26,2050,GFDL-CM2p1,NaN
tas,ANN,rcp26,2050,GFDL-CM3,4.35
tas,ANN,rcp26,2050,GFDL-ESM2G,2.67
tas,ANN,rcp26,2050,GFDL-ESM2M,1.68
tas,ANN,rcp26,2050,GISS-E2-H-CC,NaN
tas,ANN,rcp26,2050,GISS-E2-H,2.01
tas,ANN,rcp26,2050,GISS-E2-R-CC,NaN
tas,ANN,rcp26,2050,GISS-E2-R,1.43
tas,ANN,rcp26,2050,HadCM3,NaN
tas,ANN,rcp26,2050,HadGEM2-AO,4.57
tas,ANN,rcp26,2050,HadGEM2-CC,NaN
tas,ANN,rcp26,2050,HadGEM2-ES,3.86
tas,ANN,rcp26,2050,IPSL-CM5A-LR,3.01
tas,ANN,rcp26,2050,IPSL-CM5A-MR,3.34
tas,ANN,rcp26,2050,IPSL-CM5B-LR,NaN
tas,ANN,rcp26,2050,MIROC-ESM-CHEM,5.69
tas,ANN,rcp26,2050,MIROC-ESM,5.28
tas,ANN,rcp26,2050,MIROC4h,NaN
tas,ANN,rcp26,2050,MIROC5,3.88
tas,ANN,rcp26,2050,MPI-ESM-LR,2.62
tas,ANN,rcp26,2050,MPI-ESM-MR,2.34
tas,ANN,rcp26,2050,MPI-ESM-P,NaN
tas,ANN,rcp26,2050,MRI-CGCM3,1.74
tas,ANN,rcp26,2050,MRI-ESM1,NaN
tas,ANN,rcp26,2050,NorESM1-M,3.47
tas,ANN,rcp26,2050,NorESM1-ME,3.54
tas,ANN,rcp26,2050,bcc-csm1-1-m,2.37
tas,ANN,rcp26,2050,bcc-csm1-1,3.29
tas,ANN,rcp26,2050,inmcm4,NaN
tas,ANN,rcp26,2080,ACCESS1-0,NaN
tas,ANN,rcp26,2080,ACCESS1-3,NaN
tas,ANN,rcp26,2080,BNU-ESM,3.71
tas,ANN,rcp26,2080,CCSM4,2.76
tas,ANN,rcp26,2080,CESM1-BGC,NaN
tas,ANN,rcp26,2080,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp26,2080,CESM1-CAM5,3.53
tas,ANN,rcp26,2080,CESM1-FASTCHEM,NaN
tas,ANN,rcp26,2080,CESM1-WACCM,NaN
tas,ANN,rcp26,2080,CMCC-CESM,NaN
tas,ANN,rcp26,2080,CMCC-CM,NaN
tas,ANN,rcp26,2080,CMCC-CMS,NaN
tas,ANN,rcp26,2080,CNRM-CM5-2,NaN
tas,ANN,rcp26,2080,CNRM-CM5,3.71
tas,ANN,rcp26,2080,CSIRO-Mk3-6-0,4.42
tas,ANN,rcp26,2080,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp26,2080,CanCM4,NaN
tas,ANN,rcp26,2080,CanESM2,4.82
tas,ANN,rcp26,2080,FGOALS-g2,2.47
tas,ANN,rcp26,2080,FGOALS-s2,NaN
tas,ANN,rcp26,2080,FIO-ESM,-0.09
tas,ANN,rcp26,2080,GFDL-CM2p1,NaN
tas,ANN,rcp26,2080,GFDL-CM3,4.73
tas,ANN,rcp26,2080,GFDL-ESM2G,1.72
tas,ANN,rcp26,2080,GFDL-ESM2M,2.04
tas,ANN,rcp26,2080,GISS-E2-H-CC,NaN
tas,ANN,rcp26,2080,GISS-E2-H,1.77
tas,ANN,rcp26,2080,GISS-E2-R-CC,NaN
tas,ANN,rcp26,2080,GISS-E2-R,1.52
tas,ANN,rcp26,2080,HadCM3,NaN
tas,ANN,rcp26,2080,HadGEM2-AO,4.63
tas,ANN,rcp26,2080,HadGEM2-CC,NaN
tas,ANN,rcp26,2080,HadGEM2-ES,4.08
tas,ANN,rcp26,2080,IPSL-CM5A-LR,3.39
tas,ANN,rcp26,2080,IPSL-CM5A-MR,3.79
tas,ANN,rcp26,2080,IPSL-CM5B-LR,NaN
tas,ANN,rcp26,2080,MIROC-ESM-CHEM,5.83
tas,ANN,rcp26,2080,MIROC-ESM,5.68
tas,ANN,rcp26,2080,MIROC4h,NaN
tas,ANN,rcp26,2080,MIROC5,4.07
tas,ANN,rcp26,2080,MPI-ESM-LR,2.34
tas,ANN,rcp26,2080,MPI-ESM-MR,2.7
tas,ANN,rcp26,2080,MPI-ESM-P,NaN
tas,ANN,rcp26,2080,MRI-CGCM3,2.03
tas,ANN,rcp26,2080,MRI-ESM1,NaN
tas,ANN,rcp26,2080,NorESM1-M,3.56
tas,ANN,rcp26,2080,NorESM1-ME,3.63
tas,ANN,rcp26,2080,bcc-csm1-1-m,2.92
tas,ANN,rcp26,2080,bcc-csm1-1,2.9
tas,ANN,rcp26,2080,inmcm4,NaN
tas,ANN,rcp45,2040,ACCESS1-0,4.03
tas,ANN,rcp45,2040,ACCESS1-3,3.75
tas,ANN,rcp45,2040,BNU-ESM,4.02
tas,ANN,rcp45,2040,CCSM4,3.51
tas,ANN,rcp45,2040,CESM1-BGC,3.64
tas,ANN,rcp45,2040,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp45,2040,CESM1-CAM5,3.84
tas,ANN,rcp45,2040,CESM1-FASTCHEM,NaN
tas,ANN,rcp45,2040,CESM1-WACCM,NaN
tas,ANN,rcp45,2040,CMCC-CESM,NaN
tas,ANN,rcp45,2040,CMCC-CM,3.13
tas,ANN,rcp45,2040,CMCC-CMS,3.14
tas,ANN,rcp45,2040,CNRM-CM5-2,NaN
tas,ANN,rcp45,2040,CNRM-CM5,3.29
tas,ANN,rcp45,2040,CSIRO-Mk3-6-0,4.27
tas,ANN,rcp45,2040,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp45,2040,CanCM4,3.16
tas,ANN,rcp45,2040,CanESM2,5.04
tas,ANN,rcp45,2040,FGOALS-g2,3.42
tas,ANN,rcp45,2040,FGOALS-s2,NaN
tas,ANN,rcp45,2040,FIO-ESM,1.97
tas,ANN,rcp45,2040,GFDL-CM2p1,2.69
tas,ANN,rcp45,2040,GFDL-CM3,4.45
tas,ANN,rcp45,2040,GFDL-ESM2G,3.4
tas,ANN,rcp45,2040,GFDL-ESM2M,1.56
tas,ANN,rcp45,2040,GISS-E2-H-CC,1.73
tas,ANN,rcp45,2040,GISS-E2-H,2.39
tas,ANN,rcp45,2040,GISS-E2-R-CC,2.45
tas,ANN,rcp45,2040,GISS-E2-R,2.28
tas,ANN,rcp45,2040,HadCM3,2.67
tas,ANN,rcp45,2040,HadGEM2-AO,5.8
tas,ANN,rcp45,2040,HadGEM2-CC,3.76
tas,ANN,rcp45,2040,HadGEM2-ES,4.36
tas,ANN,rcp45,2040,IPSL-CM5A-LR,4.25
tas,ANN,rcp45,2040,IPSL-CM5A-MR,4.24
tas,ANN,rcp45,2040,IPSL-CM5B-LR,3.21
tas,ANN,rcp45,2040,MIROC-ESM-CHEM,5.07
tas,ANN,rcp45,2040,MIROC-ESM,5.01
tas,ANN,rcp45,2040,MIROC4h,4.14
tas,ANN,rcp45,2040,MIROC5,4.52
tas,ANN,rcp45,2040,MPI-ESM-LR,3.3
tas,ANN,rcp45,2040,MPI-ESM-MR,3.15
tas,ANN,rcp45,2040,MPI-ESM-P,NaN
tas,ANN,rcp45,2040,MRI-CGCM3,1.9
tas,ANN,rcp45,2040,MRI-ESM1,NaN
tas,ANN,rcp45,2040,NorESM1-M,4.07
tas,ANN,rcp45,2040,NorESM1-ME,3.49
tas,ANN,rcp45,2040,bcc-csm1-1-m,2.76
tas,ANN,rcp45,2040,bcc-csm1-1,3.55
tas,ANN,rcp45,2040,inmcm4,1.72
tas,ANN,rcp45,2050,ACCESS1-0,4.87
tas,ANN,rcp45,2050,ACCESS1-3,4.52
tas,ANN,rcp45,2050,BNU-ESM,4.78
tas,ANN,rcp45,2050,CCSM4,3.94
tas,ANN,rcp45,2050,CESM1-BGC,3.98
tas,ANN,rcp45,2050,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp45,2050,CESM1-CAM5,4.41
tas,ANN,rcp45,2050,CESM1-FASTCHEM,NaN
tas,ANN,rcp45,2050,CESM1-WACCM,NaN
tas,ANN,rcp45,2050,CMCC-CESM,NaN
tas,ANN,rcp45,2050,CMCC-CM,3.75
tas,ANN,rcp45,2050,CMCC-CMS,3.44
tas,ANN,rcp45,2050,CNRM-CM5-2,NaN
tas,ANN,rcp45,2050,CNRM-CM5,3.92
tas,ANN,rcp45,2050,CSIRO-Mk3-6-0,5.26
tas,ANN,rcp45,2050,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp45,2050,CanCM4,NaN
tas,ANN,rcp45,2050,CanESM2,5.64
tas,ANN,rcp45,2050,FGOALS-g2,3.81
tas,ANN,rcp45,2050,FGOALS-s2,NaN
tas,ANN,rcp45,2050,FIO-ESM,2.01
tas,ANN,rcp45,2050,GFDL-CM2p1,4.64
tas,ANN,rcp45,2050,GFDL-CM3,5.26
tas,ANN,rcp45,2050,GFDL-ESM2G,3.85
tas,ANN,rcp45,2050,GFDL-ESM2M,1.89
tas,ANN,rcp45,2050,GISS-E2-H-CC,2.09
tas,ANN,rcp45,2050,GISS-E2-H,2.69
tas,ANN,rcp45,2050,GISS-E2-R-CC,2.38
tas,ANN,rcp45,2050,GISS-E2-R,2.35
tas,ANN,rcp45,2050,HadCM3,NaN
tas,ANN,rcp45,2050,HadGEM2-AO,6.6
tas,ANN,rcp45,2050,HadGEM2-CC,4.78
tas,ANN,rcp45,2050,HadGEM2-ES,5.15
tas,ANN,rcp45,2050,IPSL-CM5A-LR,4.69
tas,ANN,rcp45,2050,IPSL-CM5A-MR,4.99
tas,ANN,rcp45,2050,IPSL-CM5B-LR,3.54
tas,ANN,rcp45,2050,MIROC-ESM-CHEM,6
tas,ANN,rcp45,2050,MIROC-ESM,6.09
tas,ANN,rcp45,2050,MIROC4h,NaN
tas,ANN,rcp45,2050,MIROC5,4.7
tas,ANN,rcp45,2050,MPI-ESM-LR,3.38
tas,ANN,rcp45,2050,MPI-ESM-MR,3.85
tas,ANN,rcp45,2050,MPI-ESM-P,NaN
tas,ANN,rcp45,2050,MRI-CGCM3,2.17
tas,ANN,rcp45,2050,MRI-ESM1,NaN
tas,ANN,rcp45,2050,NorESM1-M,4.54
tas,ANN,rcp45,2050,NorESM1-ME,4.04
tas,ANN,rcp45,2050,bcc-csm1-1-m,3.22
tas,ANN,rcp45,2050,bcc-csm1-1,4.28
tas,ANN,rcp45,2050,inmcm4,2.04
tas,ANN,rcp45,2080,ACCESS1-0,6.52
tas,ANN,rcp45,2080,ACCESS1-3,5.69
tas,ANN,rcp45,2080,BNU-ESM,6.49
tas,ANN,rcp45,2080,CCSM4,5.05
tas,ANN,rcp45,2080,CESM1-BGC,4.28
tas,ANN,rcp45,2080,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp45,2080,CESM1-CAM5,6.11
tas,ANN,rcp45,2080,CESM1-FASTCHEM,NaN
tas,ANN,rcp45,2080,CESM1-WACCM,NaN
tas,ANN,rcp45,2080,CMCC-CESM,NaN
tas,ANN,rcp45,2080,CMCC-CM,5.27
tas,ANN,rcp45,2080,CMCC-CMS,5.09
tas,ANN,rcp45,2080,CNRM-CM5-2,NaN
tas,ANN,rcp45,2080,CNRM-CM5,5.08
tas,ANN,rcp45,2080,CSIRO-Mk3-6-0,6.28
tas,ANN,rcp45,2080,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp45,2080,CanCM4,NaN
tas,ANN,rcp45,2080,CanESM2,7.07
tas,ANN,rcp45,2080,FGOALS-g2,4.37
tas,ANN,rcp45,2080,FGOALS-s2,NaN
tas,ANN,rcp45,2080,FIO-ESM,2.07
tas,ANN,rcp45,2080,GFDL-CM2p1,NaN
tas,ANN,rcp45,2080,GFDL-CM3,6.46
tas,ANN,rcp45,2080,GFDL-ESM2G,4.32
tas,ANN,rcp45,2080,GFDL-ESM2M,2.54
tas,ANN,rcp45,2080,GISS-E2-H-CC,2.63
tas,ANN,rcp45,2080,GISS-E2-H,2.95
tas,ANN,rcp45,2080,GISS-E2-R-CC,2.87
tas,ANN,rcp45,2080,GISS-E2-R,2.73
tas,ANN,rcp45,2080,HadCM3,NaN
tas,ANN,rcp45,2080,HadGEM2-AO,8.63
tas,ANN,rcp45,2080,HadGEM2-CC,6.08
tas,ANN,rcp45,2080,HadGEM2-ES,7.11
tas,ANN,rcp45,2080,IPSL-CM5A-LR,5.63
tas,ANN,rcp45,2080,IPSL-CM5A-MR,6.05
tas,ANN,rcp45,2080,IPSL-CM5B-LR,4.06
tas,ANN,rcp45,2080,MIROC-ESM-CHEM,7.35
tas,ANN,rcp45,2080,MIROC-ESM,7.69
tas,ANN,rcp45,2080,MIROC4h,NaN
tas,ANN,rcp45,2080,MIROC5,6.02
tas,ANN,rcp45,2080,MPI-ESM-LR,3.65
tas,ANN,rcp45,2080,MPI-ESM-MR,4.27
tas,ANN,rcp45,2080,MPI-ESM-P,NaN
tas,ANN,rcp45,2080,MRI-CGCM3,3.29
tas,ANN,rcp45,2080,MRI-ESM1,NaN
tas,ANN,rcp45,2080,NorESM1-M,5.81
tas,ANN,rcp45,2080,NorESM1-ME,5.98
tas,ANN,rcp45,2080,bcc-csm1-1-m,4.43
tas,ANN,rcp45,2080,bcc-csm1-1,4.67
tas,ANN,rcp45,2080,inmcm4,3.01
tas,ANN,rcp60,2040,ACCESS1-0,NaN
tas,ANN,rcp60,2040,ACCESS1-3,NaN
tas,ANN,rcp60,2040,BNU-ESM,NaN
tas,ANN,rcp60,2040,CCSM4,3.27
tas,ANN,rcp60,2040,CESM1-BGC,NaN
tas,ANN,rcp60,2040,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp60,2040,CESM1-CAM5,3.08
tas,ANN,rcp60,2040,CESM1-FASTCHEM,NaN
tas,ANN,rcp60,2040,CESM1-WACCM,NaN
tas,ANN,rcp60,2040,CMCC-CESM,NaN
tas,ANN,rcp60,2040,CMCC-CM,NaN
tas,ANN,rcp60,2040,CMCC-CMS,NaN
tas,ANN,rcp60,2040,CNRM-CM5-2,NaN
tas,ANN,rcp60,2040,CNRM-CM5,NaN
tas,ANN,rcp60,2040,CSIRO-Mk3-6-0,3.01
tas,ANN,rcp60,2040,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp60,2040,CanCM4,NaN
tas,ANN,rcp60,2040,CanESM2,NaN
tas,ANN,rcp60,2040,FGOALS-g2,NaN
tas,ANN,rcp60,2040,FGOALS-s2,NaN
tas,ANN,rcp60,2040,FIO-ESM,2.05
tas,ANN,rcp60,2040,GFDL-CM2p1,NaN
tas,ANN,rcp60,2040,GFDL-CM3,4.06
tas,ANN,rcp60,2040,GFDL-ESM2G,2.74
tas,ANN,rcp60,2040,GFDL-ESM2M,1.74
tas,ANN,rcp60,2040,GISS-E2-H-CC,NaN
tas,ANN,rcp60,2040,GISS-E2-H,2.28
tas,ANN,rcp60,2040,GISS-E2-R-CC,NaN
tas,ANN,rcp60,2040,GISS-E2-R,2.01
tas,ANN,rcp60,2040,HadCM3,NaN
tas,ANN,rcp60,2040,HadGEM2-AO,3.77
tas,ANN,rcp60,2040,HadGEM2-CC,NaN
tas,ANN,rcp60,2040,HadGEM2-ES,3.7
tas,ANN,rcp60,2040,IPSL-CM5A-LR,3.62
tas,ANN,rcp60,2040,IPSL-CM5A-MR,3.87
tas,ANN,rcp60,2040,IPSL-CM5B-LR,NaN
tas,ANN,rcp60,2040,MIROC-ESM-CHEM,4.8
tas,ANN,rcp60,2040,MIROC-ESM,4.21
tas,ANN,rcp60,2040,MIROC4h,NaN
tas,ANN,rcp60,2040,MIROC5,3.49
tas,ANN,rcp60,2040,MPI-ESM-LR,NaN
tas,ANN,rcp60,2040,MPI-ESM-MR,NaN
tas,ANN,rcp60,2040,MPI-ESM-P,NaN
tas,ANN,rcp60,2040,MRI-CGCM3,1.63
tas,ANN,rcp60,2040,MRI-ESM1,NaN
tas,ANN,rcp60,2040,NorESM1-M,2.52
tas,ANN,rcp60,2040,NorESM1-ME,2.96
tas,ANN,rcp60,2040,bcc-csm1-1-m,3.06
tas,ANN,rcp60,2040,bcc-csm1-1,3.29
tas,ANN,rcp60,2040,inmcm4,NaN
tas,ANN,rcp60,2050,ACCESS1-0,NaN
tas,ANN,rcp60,2050,ACCESS1-3,NaN
tas,ANN,rcp60,2050,BNU-ESM,NaN
tas,ANN,rcp60,2050,CCSM4,3.79
tas,ANN,rcp60,2050,CESM1-BGC,NaN
tas,ANN,rcp60,2050,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp60,2050,CESM1-CAM5,4.01
tas,ANN,rcp60,2050,CESM1-FASTCHEM,NaN
tas,ANN,rcp60,2050,CESM1-WACCM,NaN
tas,ANN,rcp60,2050,CMCC-CESM,NaN
tas,ANN,rcp60,2050,CMCC-CM,NaN
tas,ANN,rcp60,2050,CMCC-CMS,NaN
tas,ANN,rcp60,2050,CNRM-CM5-2,NaN
tas,ANN,rcp60,2050,CNRM-CM5,NaN
tas,ANN,rcp60,2050,CSIRO-Mk3-6-0,3.73
tas,ANN,rcp60,2050,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp60,2050,CanCM4,NaN
tas,ANN,rcp60,2050,CanESM2,NaN
tas,ANN,rcp60,2050,FGOALS-g2,NaN
tas,ANN,rcp60,2050,FGOALS-s2,NaN
tas,ANN,rcp60,2050,FIO-ESM,2.23
tas,ANN,rcp60,2050,GFDL-CM2p1,NaN
tas,ANN,rcp60,2050,GFDL-CM3,4.63
tas,ANN,rcp60,2050,GFDL-ESM2G,3.26
tas,ANN,rcp60,2050,GFDL-ESM2M,2.02
tas,ANN,rcp60,2050,GISS-E2-H-CC,NaN
tas,ANN,rcp60,2050,GISS-E2-H,2.48
tas,ANN,rcp60,2050,GISS-E2-R-CC,NaN
tas,ANN,rcp60,2050,GISS-E2-R,2.36
tas,ANN,rcp60,2050,HadCM3,NaN
tas,ANN,rcp60,2050,HadGEM2-AO,4.5
tas,ANN,rcp60,2050,HadGEM2-CC,NaN
tas,ANN,rcp60,2050,HadGEM2-ES,4.76
tas,ANN,rcp60,2050,IPSL-CM5A-LR,4.54
tas,ANN,rcp60,2050,IPSL-CM5A-MR,4.65
tas,ANN,rcp60,2050,IPSL-CM5B-LR,NaN
tas,ANN,rcp60,2050,MIROC-ESM-CHEM,6.16
tas,ANN,rcp60,2050,MIROC-ESM,5.29
tas,ANN,rcp60,2050,MIROC4h,NaN
tas,ANN,rcp60,2050,MIROC5,4.1
tas,ANN,rcp60,2050,MPI-ESM-LR,NaN
tas,ANN,rcp60,2050,MPI-ESM-MR,NaN
tas,ANN,rcp60,2050,MPI-ESM-P,NaN
tas,ANN,rcp60,2050,MRI-CGCM3,2.11
tas,ANN,rcp60,2050,MRI-ESM1,NaN
tas,ANN,rcp60,2050,NorESM1-M,3.7
tas,ANN,rcp60,2050,NorESM1-ME,3.38
tas,ANN,rcp60,2050,bcc-csm1-1-m,3.46
tas,ANN,rcp60,2050,bcc-csm1-1,4
tas,ANN,rcp60,2050,inmcm4,NaN
tas,ANN,rcp60,2080,ACCESS1-0,NaN
tas,ANN,rcp60,2080,ACCESS1-3,NaN
tas,ANN,rcp60,2080,BNU-ESM,NaN
tas,ANN,rcp60,2080,CCSM4,5.54
tas,ANN,rcp60,2080,CESM1-BGC,NaN
tas,ANN,rcp60,2080,CESM1-CAM5-1-FV2,NaN
tas,ANN,rcp60,2080,CESM1-CAM5,6.66
tas,ANN,rcp60,2080,CESM1-FASTCHEM,NaN
tas,ANN,rcp60,2080,CESM1-WACCM,NaN
tas,ANN,rcp60,2080,CMCC-CESM,NaN
tas,ANN,rcp60,2080,CMCC-CM,NaN
tas,ANN,rcp60,2080,CMCC-CMS,NaN
tas,ANN,rcp60,2080,CNRM-CM5-2,NaN
tas,ANN,rcp60,2080,CNRM-CM5,NaN
tas,ANN,rcp60,2080,CSIRO-Mk3-6-0,6.31
tas,ANN,rcp60,2080,CSIRO-Mk3L-1-2,NaN
tas,ANN,rcp60,2080,CanCM4,NaN
tas,ANN,rcp60,2080,CanESM2,NaN
tas,ANN,rcp60,2080,FGOALS-g2,NaN
tas,ANN,rcp60,2080,FGOALS-s2,NaN
tas,ANN,rcp60,2080,FIO-ESM,3.31
tas,ANN,rcp60,2080,GFDL-CM2p1,NaN
tas,ANN,rcp60,2080,GFDL-CM3,7.12
tas,ANN,rcp60,2080,GFDL-ESM2G,4.82
tas,ANN,rcp60,2080,GFDL-ESM2M,3.61
tas,ANN,rcp60,2080,GISS-E2-H-CC,NaN
tas,ANN,rcp60,2080,GISS-E2-H,3.73
tas,ANN,rcp60,2080,GISS-E2-R-CC,NaN
tas,ANN,rcp60,2080,GISS-E2-R,3.26
tas,ANN,rcp60,2080,HadCM3,NaN
tas,ANN,rcp60,2080,HadGEM2-AO,8.41
tas,ANN,rcp60,2080,HadGEM2-CC,NaN
tas,ANN,rcp60,2080,HadGEM2-ES,7.39
tas,ANN,rcp60,2080,IPSL-CM5A-LR,6.41
tas,ANN,rcp60,2080,IPSL-CM5A-MR,6.95
tas,ANN,rcp60,2080,IPSL-CM5B-LR,NaN
tas,ANN,rcp60,2080,MIROC-ESM-CHEM,8.29
tas,ANN,rcp60,2080,MIROC-ESM,8.13
tas,ANN,rcp60,2080,MIROC4h,NaN
tas,ANN,rcp60,2080,MIROC5,6.13
tas,ANN,rcp60,2080,MPI-ESM-LR,NaN
tas,ANN,rcp60,2080,MPI-ESM-MR,NaN
tas,ANN,rcp60,2080,MPI-ESM-P,NaN
tas,ANN,rcp60,2080,MRI-CGCM3,3.48
tas,ANN,rcp60,2080,MRI-ESM1,NaN
tas,ANN,rcp60,2080,NorESM1-M,6.03
tas,ANN,rcp60,2080,NorESM1-ME,5.73
tas,ANN,rcp60,2080,bcc-csm1-1-m,5.06
tas,ANN,rcp60,2080,bcc-csm1-1,5.94
tas,ANN,rcp60,2080,inmcm4,NaN
tas,ANN,rcp85,2040,ACCESS1-0,5.05
tas,ANN,rcp85,2040,ACCESS1-3,4.56
tas,ANN,rcp85,2040,BNU-ESM,5.13
tas,ANN,rcp85,2040,CCSM4,4.32
tas,ANN,rcp85,2040,CESM1-BGC,4.42
tas,ANN,rcp85,2040,CESM1-CAM5-1-FV2,NaN
