"Season","Scenario","Time Period","Projected Change"
"Annual","RCP2.6","2040","3.11"
"Annual","RCP2.6","2050","2.67"
"Annual","RCP2.6","2080","1.72"
"Annual","RCP4.5","2040","3.4"
"Annual","RCP4.5","2050","3.85"
"Annual","RCP4.5","2080","4.32"
"Annual","RCP6","2040","2.74"
"Annual","RCP6","2050","3.26"
"Annual","RCP6","2080","4.82"
"Annual","RCP8.5","2040","3.45"
"Annual","RCP8.5","2050","4.36"
"Annual","RCP8.5","2080","7.61"
"Winter","RCP2.6","2040","3.73"
"Winter","RCP2.6","2050","3.24"
"Winter","RCP2.6","2080","2.59"
"Winter","RCP4.5","2040","4.07"
"Winter","RCP4.5","2050","4.7"
"Winter","RCP4.5","2080","4.51"
"Winter","RCP6","2040","3.13"
"Winter","RCP6","2050","3.53"
"Winter","RCP6","2080","5.37"
"Winter","RCP8.5","2040","3.95"
"Winter","RCP8.5","2050","4.56"
"Winter","RCP8.5","2080","7.91"
"Spring","RCP2.6","2040","2.64"
"Spring","RCP2.6","2050","2"
"Spring","RCP2.6","2080","1.25"
"Spring","RCP4.5","2040","3.21"
"Spring","RCP4.5","2050","3.78"
"Spring","RCP4.5","2080","4.33"
"Spring","RCP6","2040","1.57"
"Spring","RCP6","2050","2.23"
"Spring","RCP6","2080","3.69"
"Spring","RCP8.5","2040","3.51"
"Spring","RCP8.5","2050","4.49"
"Spring","RCP8.5","2080","7.4"
"Summer","RCP2.6","2040","3.4"
"Summer","RCP2.6","2050","2.83"
"Summer","RCP2.6","2080","0.89"
"Summer","RCP4.5","2040","3.33"
"Summer","RCP4.5","2050","3.96"
"Summer","RCP4.5","2080","4.13"
"Summer","RCP6","2040","3.22"
"Summer","RCP6","2050","3.69"
"Summer","RCP6","2080","5.65"
"Summer","RCP8.5","2040","3.42"
"Summer","RCP8.5","2050","4.67"
"Summer","RCP8.5","2080","8.26"
"Autumn","RCP2.6","2040","2.63"
"Autumn","RCP2.6","2050","2.7"
"Autumn","RCP2.6","2080","2.05"
"Autumn","RCP4.5","2040","2.94"
"Autumn","RCP4.5","2050","2.95"
"Autumn","RCP4.5","2080","4.35"
"Autumn","RCP6","2040","3.11"
"Autumn","RCP6","2050","3.67"
"Autumn","RCP6","2080","4.55"
"Autumn","RCP8.5","2040","2.91"
"Autumn","RCP8.5","2050","3.74"
"Autumn","RCP8.5","2080","6.89"
