"year","month","scenario","measure","x","y","value"
2030,"apr","A1B","baseflow",-122.25,48.75,132.108993530273
2030,"apr","A1B","baseflow",-121.75,48.75,126.246002197266
2030,"apr","A1B","baseflow",-121.25,48.75,92.7419967651367
2030,"apr","A1B","baseflow",-120.75,48.75,122.041999816895
2030,"apr","A1B","baseflow",-120.25,48.75,56.6973991394043
2030,"apr","A1B","baseflow",-119.75,48.75,6.62434005737305
2030,"apr","A1B","baseflow",-119.25,48.75,0.0272000003606081
2030,"apr","A1B","baseflow",-118.75,48.75,27.0265998840332
2030,"apr","A1B","baseflow",-118.25,48.75,54.6783981323242
2030,"apr","A1B","baseflow",-117.75,48.75,90.3239974975586
2030,"apr","A1B","baseflow",-117.25,48.75,81.5665969848633
2030,"apr","A1B","baseflow",-122.25,48.25,81.4213027954102
2030,"apr","A1B","baseflow",-121.75,48.25,135.526000976562
2030,"apr","A1B","baseflow",-121.25,48.25,104.318000793457
2030,"apr","A1B","baseflow",-120.75,48.25,130.199005126953
2030,"apr","A1B","baseflow",-120.25,48.25,63.7337989807129
2030,"apr","A1B","baseflow",-119.75,48.25,0.797049999237061
2030,"apr","A1B","baseflow",-119.25,48.25,0.474839985370636
2030,"apr","A1B","baseflow",-118.75,48.25,0.76350998878479
2030,"apr","A1B","baseflow",-118.25,48.25,23.2026996612549
2030,"apr","A1B","baseflow",-117.75,48.25,48.5545997619629
2030,"apr","A1B","baseflow",-117.25,48.25,82.0291976928711
2030,"apr","A1B","baseflow",-124.25,47.75,179.675003051758
2030,"apr","A1B","baseflow",-123.75,47.75,179.505996704102
2030,"apr","A1B","baseflow",-123.25,47.75,161.824005126953
2030,"apr","A1B","baseflow",-122.25,47.75,59.2808990478516
2030,"apr","A1B","baseflow",-121.75,47.75,145.731002807617
2030,"apr","A1B","baseflow",-121.25,47.75,131.964996337891
2030,"apr","A1B","baseflow",-120.75,47.75,129.154006958008
2030,"apr","A1B","baseflow",-120.25,47.75,25.3978996276855
2030,"apr","A1B","baseflow",-119.75,47.75,0.0376599989831448
2030,"apr","A1B","baseflow",-119.25,47.75,0.014580000191927
2030,"apr","A1B","baseflow",-118.75,47.75,0.0876099988818169
2030,"apr","A1B","baseflow",-118.25,47.75,0.739120006561279
2030,"apr","A1B","baseflow",-117.75,47.75,13.0778999328613
2030,"apr","A1B","baseflow",-117.25,47.75,22.840799331665
2030,"apr","A1B","baseflow",-123.75,47.25,179.266006469727
2030,"apr","A1B","baseflow",-123.25,47.25,175.449005126953
2030,"apr","A1B","baseflow",-122.75,47.25,74.2313003540039
2030,"apr","A1B","baseflow",-122.25,47.25,61.0456008911133
2030,"apr","A1B","baseflow",-121.75,47.25,144.320007324219
2030,"apr","A1B","baseflow",-121.25,47.25,131.897003173828
2030,"apr","A1B","baseflow",-120.75,47.25,100.55899810791
2030,"apr","A1B","baseflow",-120.25,47.25,7.25704002380371
2030,"apr","A1B","baseflow",-119.75,47.25,0.0196800008416176
2030,"apr","A1B","baseflow",-119.25,47.25,0.00498000020161271
2030,"apr","A1B","baseflow",-118.75,47.25,0.0118599999696016
2030,"apr","A1B","baseflow",-118.25,47.25,0.176210001111031
2030,"apr","A1B","baseflow",-117.75,47.25,10.1166000366211
2030,"apr","A1B","baseflow",-117.25,47.25,15.2250995635986
2030,"apr","A1B","baseflow",-123.75,46.75,172.858993530273
2030,"apr","A1B","baseflow",-123.25,46.75,117.309997558594
2030,"apr","A1B","baseflow",-122.75,46.75,74.8047027587891
2030,"apr","A1B","baseflow",-122.25,46.75,124.329002380371
2030,"apr","A1B","baseflow",-121.75,46.75,129.311004638672
2030,"apr","A1B","baseflow",-121.25,46.75,112.55899810791
2030,"apr","A1B","baseflow",-120.75,46.75,17.5828990936279
2030,"apr","A1B","baseflow",-120.25,46.75,0.00377000006847084
2030,"apr","A1B","baseflow",-119.75,46.75,0.00139999995008111
2030,"apr","A1B","baseflow",-119.25,46.75,0.00036000000545755
2030,"apr","A1B","baseflow",-118.75,46.75,0.0516199991106987
2030,"apr","A1B","baseflow",-118.25,46.75,1.97088003158569
2030,"apr","A1B","baseflow",-117.75,46.75,6.8326997756958
2030,"apr","A1B","baseflow",-117.25,46.75,24.1051998138428
2030,"apr","A1B","baseflow",-123.25,46.25,147.52099609375
2030,"apr","A1B","baseflow",-122.75,46.25,101.455001831055
2030,"apr","A1B","baseflow",-122.25,46.25,146.839004516602
2030,"apr","A1B","baseflow",-121.75,46.25,142.526000976562
2030,"apr","A1B","baseflow",-121.25,46.25,100.375
2030,"apr","A1B","baseflow",-120.75,46.25,8.27982044219971
2030,"apr","A1B","baseflow",-120.25,46.25,0.0454699993133545
2030,"apr","A1B","baseflow",-119.75,46.25,0.0358199998736382
2030,"apr","A1B","baseflow",-119.25,46.25,0.000460000010207295
2030,"apr","A1B","baseflow",-118.75,46.25,0.0384999997913837
2030,"apr","A1B","baseflow",-118.25,46.25,20.2523994445801
2030,"apr","A1B","baseflow",-117.75,46.25,75.589599609375
2030,"apr","A1B","baseflow",-117.25,46.25,8.15538024902344
2030,"apr","A1B","baseflow",-123.75,45.75,160.188003540039
2030,"apr","A1B","baseflow",-123.25,45.75,94.1808013916016
2030,"apr","A1B","baseflow",-122.75,45.75,68.2294006347656
2030,"apr","A1B","baseflow",-122.25,45.75,174.843002319336
2030,"apr","A1B","baseflow",-121.75,45.75,168.675994873047
