Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,36521,66733,79742,71151,73443,192804,252936,212975,118129,72556,51954,24627
2015,20370,48963,40341,87496,73263,216089,241751,205715,109563,66223,36948,24121
2014,30324,31840,47293,68127,83093,156628,275673,238501,115238,80331,23736,30114
2013,26615,44594,78636,110923,110015,157004,288339,230418,108271,44113,30579,24902
2012,9919,35090,43082,76877,121612,195832,411969,321027,190408,157995,116341,101820
2011,41835,63537,86113,85326,72203,193140,343898,352735,158509,51178,39648,35352
2010,37323,38873,58880,49835,73879,235272,299304,271372,123847,62943,43416,29130
2009,18210,20794,40044,62418,138271,219496,315880,290144,168332,51796,34211,23067
2008,14246,25273,43044,71011,125381,168331,290792,265440,137164,100617,70677,25048
2007,23265,25392,48244,61028,106819,191062,335533,357742,149654,83062,41064,27573
2006,28931,31660,39701,54990,70281,155794,297049,287967,155156,97765,37351,24941
2005,21766,39931,49606,82397,100882,175399,296242,280392,95500,65397,41406,23201
2004,22753,29272,40111,67663,86867,187673,288372,312058,106230,65112,45769,27171
2003,25738,26699,40216,61966,75157,165745,369036,314860,152990,61954,35781,26189
2002,25809,33500,47797,44523,83277,164403,359099,444163,111104,69556,35198,26322
2001,30314,31160,44652,39627,81144,136441,312859,330687,122642,55731,34661,32242
2000,22585,25257,42614,59295,88155,186119,316029,406933,120983,76023,46602,25032
1999,33943,27052,48423,52595,81878,213318,311361,327171,168574,66003,46981,26494
1998,28818,31290,64280,58237,93513,197648,316846,408054,189655,83636,46333,26840
1997,25899,23671,25990,45952,84185,207823,342040,379762,151137,63635,51958,29908
1996,16188,25310,51175,45898,53557,145210,256401,226511,126852,48671,30618,19064
1995,36560,33204,46140,60166,78576,242312,284558,291715,151775,53885,39586,22539
1994,25927,27322,54146,82981,98156,229509,334453,351945,180149,64699,40147,26240
1993,9229,12950,17456,41811,93598,211070,273806,314212,83724,69756,44975,26018
1992,10301,16492,35361,52993,90002,181481,262301,286044,77092,57222,36274,16410
1991,13902,35666,64232,107149,120464,172451,280259,433301,340261,131037,47994,24704
1990,25656,23353,73240,103089,155269,156202,305435,317248,184288,101897,62721,34117
1989,13774,18865,36271,47653,132084,153494,230952,266859,102663,48386,29416,16719
1988,17920,25802,46051,79961,109007,163268,336528,329793,156143,66028,19812,15992
1987,5335,8248,22982,40261,86735,147702,252390,260254,138468,59756,32603,12267
1986,1794,1507,15028,28885,39797,135319,224514,212482,72065,41921,13237,3762
1985,970,1435,7658,22158,50085,81058,154740,93908,72125,20633,10760,1941
1984,2008,2801,11585,23112,50485,105981,175328,134362,78618,26451,9662,2515
1983,2714,2917,9986,24654,69479,95476,154697,171339,77919,35158,18219,3783
1982,2279,2176,12638,27184,69927,137692,203448,210475,101285,37746,10704,3774
1981,2885,3445,11847,36565,69088,146208,240918,192819,112556,35355,18364,3704
1980,2108,2796,5152,13565,64295,123593,251390,216570,97921,42605,9760,3645
1979,2095,2698,13027,30627,73162,144023,220907,160845,69252,65314,9844,2916
