Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,97571,103509,126255,171641,341524,459305,563492,813267,409680,114112,117426,72439
2015,79877,102766,110453,163263,280726,550337,568820,702159,391825,139783,104817,68935
2014,80424,77894,106803,163050,282962,396184,585884,860611,394495,146288,75692,73585
2013,77162,81808,119954,124456,274629,388581,460971,855663,373850,134726,89154,104386
2012,65178,79292,96768,114970,287399,261427,527598,639436,417768,165809,83363,85900
2011,81212,68228,105061,128660,282322,316535,514487,724884,380517,194130,91620,78846
2010,95417,87317,114917,160423,224279,283713,515266,648734,329213,172354,147838,65092
2009,108180,108615,130282,131420,296279,390715,511702,714948,408782,218816,143775,112945
2008,85799,88928,121254,127008,253117,454678,469753,634421,358070,234011,157669,96743
2007,94454,105116,110831,125060,308662,291907,405967,731346,387414,200700,142776,84453
2006,91371,94011,99138,134679,228334,291704,426249,663496,334225,193254,111836,80900
2005,87091,96880,118618,115228,313764,439694,452981,806537,348835,161829,104002,97315
2004,113575,109916,107077,137681,223346,344345,399944,940156,341704,167016,99965,88997
2003,117392,105632,123961,183861,226461,394437,522505,805921,388750,152942,87717,115748
2002,98582,123199,121607,161563,263001,433902,699732,856987,420204,217635,158942,135956
2001,137416,106761,123512,186515,263442,335889,538036,752472,427314,275194,138758,130760
2000,107655,115064,126936,180927,298942,353597,496673,690936,427104,247361,138278,144249
1999,100800,100475,114491,173515,314164,383547,557138,736542,393154,243335,113231,133874
1998,106255,118009,133071,198924,264633,400120,624743,840990,472706,218287,104466,94803
1997,109975,119749,128889,167671,368617,462510,629238,884173,506847,226600,129687,112753
1996,73617,93292,120533,143606,275510,358829,469384,814468,548851,238398,117985,94250
1995,97719,100477,110109,153225,264287,396072,664530,932892,436992,318603,107672,76037
1994,85442,87168,121555,150290,248684,358722,578213,948440,418601,205845,106574,72039
1993,45468,92616,94503,135296,262521,292038,395670,596948,373445,223359,101848,65886
1992,87347,90782,130148,142355,280778,381961,517278,666810,408254,183448,80298,60736
1991,56783,75125,98602,140676,249275,329326,493472,585354,390471,197607,79648,63334
1990,73278,62811,105767,147896,265456,308300,537430,655539,395716,134293,70599,37818
1989,79928,64281,112391,192196,229426,310733,432063,597155,406468,164134,88392,60444
1988,101552,124842,154958,182113,183294,299614,518718,677665,370511,168435,106720,70700
1987,126555,104308,113714,180803,219503,287201,446566,575671,391105,171818,119813,85793
1986,123153,92602,131928,170315,203960,330981,466100,687083,377122,191287,79800,85703
1985,81068,78644,115226,148180,166141,305707,488081,548834,303874,156426,68497,71467
1984,106158,92476,122484,156862,177113,297234,443092,483112,501946,187300,112203,79031
1983,86603,104874,112489,130245,163172,263139,417160,465101,328955,152980,125132,60872
1982,56108,99509,106765,125772,163608,301517,438403,516377,263301,138743,126999,141637
1981,37309,45741,66372,79340,133887,179827,525435,729133,225606,96350,110158,76874
1980,41013,42049,53707,79987,130153,175310,510789,599654,180884,106248,57966,54658
1979,48453,38221,75100,105322,130894,210362,472052,611121,173679,113074,60871,39694
