Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,3998,5250,5250,25200,67389,182249,130361,223463,211915,28293,16800,5250
2015,7232,6073,8058,61969,121815,132660,151967,114830,73499,71082,16874,6520
2014,5985,4620,5290,6812,90229,118848,127298,139182,110767,74819,22113,4649
2013,4555,5250,8146,24715,96342,127051,153017,125562,80310,72457,24131,4381
2012,5775,5794,4805,6233,70812,105989,173630,164331,104122,82103,12081,6525
2011,6074,148,4311,6859,62917,168202,111371,169928,99419,72214,22163,4747
2010,5830,11319,6197,18493,35910,80493,165556,190453,84173,64369,14895,5048
2009,150,350,336,6391,25634,43832,69157,85665,37020,15095,3730,1098
2008,590,302,708,8138,28633,43610,64439,77022,14668,14787,300,136
2007,512,653,497,8077,28032,42155,78256,75195,39519,16781,773,251
2006,361,690,637,1157,4486,45130,85585,76184,40575,9803,310,104
2005,153,300,760,4875,7923,39269,84260,78335,47113,15933,472,188
2004,100,300,344,3695,24096,32744,73682,69177,85782,20636,2841,100
2003,108,302,406,17780,28534,40028,90170,132272,30467,5962,311,202
2002,200,345,316,635,20502,50655,86615,96457,59538,71340,311,302
2001,248,620,566,5985,15876,90291,57633,76817,67725,11884,3551,147
2000,172,590,481,4280,21503,45657,60699,58718,46062,28619,6716,199
1999,382,391,412,1034,16848,45452,77316,94988,64587,29957,2427,150
1998,512,1174,2968,10546,30793,60544,94502,118633,71435,30425,3229,448
1997,309,543,507,2489,24515,52889,79684,93583,44953,25781,5705,1206
1996,697,1169,1227,3505,17515,55907,73018,86084,46753,24503,2827,360
1995,1327,1467,1920,4067,22528,51914,85238,87442,62049,22276,3988,686
1994,1212,1324,1483,8825,18682,53690,83142,86292,53947,29951,8545,1164
1993,503,1063,1662,9568,14383,38892,67913,90541,50319,28980,6451,1441
1992,667,1116,1610,11102,21985,40701,71043,93403,56004,24427,7064,893
1991,278,735,941,2964,10645,27262,76523,100743,51236,24117,2642,862
1990,0,0,0,0,0,0,0,0,0,0,0,0
