year,month,name,class,cause
1997,May,campfire,A,Human
1997,Jun,POWERLINE1,A,Human
1997,Jul,WELLESLEY,A,Natural
1997,Jul,BLUE,A,Natural
1997,Jul,LONG,A,Natural
1997,Jul,BALDY,A,Natural
1997,Jul,FITZHENRY,A,Natural
1997,Jul,CAT,A,Natural
1997,Jul,LILLIAN,A,Natural
1997,Jul,WOLF,A,Natural
1997,Jul,WINDY,A,Natural
1997,Jul,hurricane,A,Natural
1997,Jul,stokey,A,Natural
1997,Jul,Katmor,A,Natural
1997,Jun,surfer,A,Human
1997,Jun,elwha,A,Human
1997,Jul,mt watson,A,Natural
1997,Jul,mt watson2,A,Natural
1997,Jul,nfroad#1,A,Natural
1997,Jun,SMORES,A,Human
1997,Jun,HMWRCKR,A,Human
1997,Aug,BIG LEAF,A,Human
1997,Aug,DODGER#1,A,Natural
1997,Aug,DODGER#2,A,Natural
1997,Aug,DODGER#3,A,Natural
1997,Aug,BAGPIPE,A,Natural
1997,Aug,WINDFALL,A,Natural
1997,Aug,STRUNK,A,Natural
1997,Aug,JONI,A,Natural
1997,Aug,EAGLE,B,Natural
1997,Aug,OBSTRUCT,A,Natural
1997,Aug,ROCKY,A,Natural
1997,Aug,THIRD,A,Natural
1997,Aug,ANGELES,A,Natural
1997,Aug,2ND TOP,A,Natural
1997,Aug,MAIDEN,A,Natural
1997,Aug,DEER1,A,Natural
1997,Aug,DEER 2,A,Natural
1997,Aug,BLUE,A,Natural
1997,Aug,GRAY,B,Natural
1997,Aug,SLIDE,A,Natural
1997,Aug,GUARD,A,Natural
1997,Aug,ROUND,A,Natural
1997,Aug,HORSE,A,Natural
1997,Aug,SOLDUC,A,Natural
1997,Aug,BOULDER,A,Natural
1997,Aug,APPLETON,B,Natural
1997,Aug,FALLS,A,Natural
1997,Aug,BARNES,A,Natural
1997,Aug,HAPPY 1,A,Natural
1997,Aug,FAIRHOLM,A,Natural
1997,Aug,LAKES,A,Natural
1997,Aug,BOGIE,A,Natural
1997,Aug,SAMS,A,Natural
1997,Aug,DILLY,A,Natural
1997,Aug,SPRUCE,A,Natural
1997,Aug,PASS,A,Natural
1997,Aug,LACROSSE,A,Natural
1997,Aug,HAPPY 2,A,Natural
1997,Aug,OLSON,A,Natural
1997,Aug,SEVEN,A,Natural
1997,Aug,WHITE,A,Natural
1997,Aug,HOPPER,B,Natural
1997,Aug,BOUNDARY,B,Natural
1997,Aug,DEER 3,A,Natural
1997,Aug,rocky,B,Natural
1997,Aug,DNR 1234RD,A,Human
1997,Aug,BEACH1,A,Human
1997,Aug,green,B,Natural
1997,Aug,STEW,A,Natural
1998,Jul,GROUP,A,Human
1998,Aug,oil city,A,Human
1998,Aug,ellen ck,A,Human
1998,Aug,solduc,A,Human
1998,Aug,east fork,A,Human
1998,Aug,second,A,Human
1998,Aug,Big Creek,A,Human
1998,Aug,ericson ba,A,Human
1998,Aug,RIALTO,B,Human
1998,Aug,CHIPMUNK,A,Human
1998,Aug,MR HANKEY,A,Human
1999,Jul,DUNGENESS2,C,Human
1999,Jul,RIALTO#1,A,Human
1999,Aug,SWAMP RAT,B,
1999,Aug,STORMKING1,A,Natural
1999,Aug,STORMKING2,A,Natural
1999,Aug,STORMKING3,A,Natural
1999,Aug,LONGRIDGE1,A,Natural
1999,Aug,LONGRIDGE2,A,Natural
1999,Aug,GREEN MTN,A,Natural
1999,Aug,FALLS CK,A,Natural
1999,Aug,SLIDE CK,A,Natural
1999,Aug,FITZHENRY,A,Natural
1999,Aug,GODKIN,A,Natural
1999,Aug,COPPER,A,Natural
1999,Aug,Pony Bridg,A,Human
1999,Aug,EAST FORK,A,Human
1999,Sep,DUCKAROCK,B,Human
1999,Sep,O BROTHER,C,Human
1999,Sep,HOT ROCK,A,Human
1999,Sep,IRELY LAKE,A,Human
1999,Oct,ENNIS CK,A,Human
2000,Jun,MOSSIE,A,Human
2000,Jul,MAPLE MOSS,A,Human
2000,Jul,KRAUSE,A,Human
2000,May,S.BEACH#1,A,Human
2000,Aug,ELWHA CAMP,A,Human
2000,Sep,STAIRCASE,A,Human
2000,Sep,LAKE ANG.2,A,Human
2001,Jun,RIALTO#1,A,Human
2001,Jun,PEABODY,A,Human
2001,Jul,FAY ROAD,B,
2001,Jul,S.BEACH,A,Human
2001,Jul,TRAILER,A,
2001,Jul,BEACH 2,A,Human
2001,Jul,ROCHE HARB,B,
2001,Jul,KALALOCH#1,A,Human
2001,Aug,KALALOCH#2,A,Human
2001,Aug,KALALOCH#3,A,Human
2001,Aug,KALALOCH#4,A,Human
2001,Aug,CUSHMAN,A,Human
2001,Aug,KALALOCH#5,A,Human
2001,Aug,KALALOCH#6,A,Human
2001,Aug,KALALOCH#7,A,Human
2001,Sep,ELWHA RSRT,A,Human
2002,Jul,WIC,A,Human
2002,Jul,BALTIMORE,A,Human
2002,Jul,RIALTO#1,A,Human
2002,Jul,KALALOCH#1,A,Human
2002,Jul,BOULDER#1,A,Human
2002,Jul,KALALOCH#2,A,Human
2002,Jul,KALALOCH#3,A,Human
2002,Aug,KALALOCH#4,A,Human
2002,Aug,BOULDER#2,A,Human
2002,Aug,S.BEACH#1,A,Human
2002,Aug,S.BEACH#2,A,Human
2002,Aug,KALALOCH#5,A,Human
2002,Aug,KALALOCH#6,A,Human
2002,Aug,LK OZETTE,A,Human
2002,Aug,stephen,A,Natural
2002,Aug,goldie,A,Natural
2002,Aug,Elwha-Buck,B,Natural
2002,Aug,MARTINS LK,A,Natural
